epoch,train_loss,validation_loss,file_name
1,0.47487706823522974,0.47487706823522974,safe/save_1.pth
2,0.42555339994134245,0.42555339994134245,safe/save_2.pth
3,0.3983697148984674,0.3983697148984674,safe/save_3.pth
4,0.30908114170926765,0.30908114170926765,safe/save_4.pth
5,0.29479819940932,0.29479819940932,safe/save_5.pth
6,0.3411930088370282,0.3411930088370282,safe/save_6.pth
7,0.36224462294022713,0.36224462294022713,safe/save_7.pth
8,0.3327768516146871,0.3327768516146871,safe/save_8.pth
9,0.39480494611840045,0.39480494611840045,safe/save_9.pth
10,0.2702752914846925,0.2702752914846925,safe/save_10.pth
11,0.28194434563702786,0.28194434563702786,safe/save_11.pth
12,0.5197079346139124,0.5197079346139124,safe/save_12.pth
13,0.2777962277172132,0.2777962277172132,safe/save_13.pth
14,0.46858370754684064,0.46858370754684064,safe/save_14.pth
15,0.28793942396245087,0.28793942396245087,safe/save_15.pth
16,0.3146005821173277,0.3146005821173277,safe/save_16.pth
17,0.2803728432549545,0.2803728432549545,safe/save_17.pth
18,0.3412777799255817,0.3412777799255817,safe/save_18.pth
19,0.3045931604025893,0.3045931604025893,safe/save_19.pth
20,0.2810971457243703,0.2810971457243703,safe/save_20.pth
21,0.2693543459932693,0.2693543459932693,safe/save_21.pth
22,0.25668232576500477,0.25668232576500477,safe/save_22.pth
23,0.15415834592537278,0.2405127754294674,safe/save_23.pth
24,0.15089616285657612,0.26158722013089813,safe/save_24.pth
25,0.15046295153724337,0.24200584589368287,safe/save_25.pth
26,0.14991584102907513,0.26520137809555044,safe/save_26.pth
27,0.15061123702305731,0.25383730383673264,safe/save_27.pth
28,0.14893204116469067,0.30239222371670965,safe/save_28.pth
29,0.14795230365792664,0.25992581058789105,safe/save_29.pth
30,0.14700230472741152,0.5655400593681162,safe/save_30.pth
31,0.14729713607161674,0.31232348918955694,safe/save_31.pth
32,0.1469106222368538,0.31868029755377864,safe/save_32.pth
33,0.14558832110921363,0.33730463759785667,safe/save_33.pth
34,0.14446242037340468,0.25428396237512113,safe/save_34.pth
35,0.14520893150465877,0.2594090455917397,safe/save_35.pth
36,0.14361387106292056,0.3549360558494217,safe/save_36.pth
37,0.14343651259124826,0.2507843334441268,safe/save_37.pth
38,0.14477438492920436,0.3071087083664856,safe/save_38.pth
39,0.14294392672871864,0.27072327625238707,safe/save_39.pth
40,0.14284021838704972,0.29844071738843225,safe/save_40.pth
41,0.14171149898663987,0.34146094677015815,safe/save_41.pth
42,0.14205277193546764,0.26094609588936046,safe/save_42.pth
43,0.14153458760354978,0.2623300389999431,safe/save_43.pth
44,0.14146971091035113,0.31069543810009326,safe/save_44.pth
45,0.14106202955120598,0.28767860961974934,safe/save_45.pth
46,0.14112784817847832,0.29908246931265065,safe/save_46.pth
47,0.14055484925934,0.2704190757771849,safe/save_47.pth
48,0.14042403942586545,0.29848341978937487,safe/save_48.pth
49,0.13967469690655343,0.23811326851701892,safe/save_49.pth
50,0.13895923766866203,0.30058022784173277,safe/save_50.pth
51,0.1390541316221235,0.2946042745237287,safe/save_51.pth
52,0.13919508428287417,0.3096486281078478,safe/save_52.pth
53,0.13927131524101677,0.2791695839688409,safe/save_53.pth
54,0.13880146032719162,0.29616491470056616,safe/save_54.pth
55,0.13820211604216132,0.27360885548937225,safe/save_55.pth
56,0.13769993259808963,0.34949798393803816,safe/save_56.pth
57,0.13848200362927796,0.2984716936202939,safe/save_57.pth
58,0.13859171341722093,0.3357017386751553,safe/save_58.pth
59,0.1376547524066606,0.2828513300790588,safe/save_59.pth
60,0.13836116404829646,0.31623067561290225,safe/save_60.pth
61,0.13781318206922225,0.3065124402542477,safe/save_61.pth
62,0.13737662654030175,0.3056325676196747,safe/save_62.pth
63,0.13701474313677361,0.3331913699166562,safe/save_63.pth
64,0.13741154204513473,0.31575956230316365,safe/save_64.pth
65,0.13678677875372655,0.3277559195364615,safe/save_65.pth
66,0.1371358644134505,0.2982911406801532,safe/save_66.pth
67,0.13681288090788873,0.3101250798656375,safe/save_67.pth
68,0.1366877148345731,0.2933287824174159,safe/save_68.pth
69,0.13655800188069703,0.3062420834670705,safe/save_69.pth
70,0.13732373058499622,0.33701460032123465,safe/save_70.pth
71,0.1361675255803243,0.30492508505190224,safe/save_71.pth
72,0.13662458219144885,0.3095333220522295,safe/save_72.pth
73,0.13647486823168914,0.3270291508674639,safe/save_73.pth
74,0.1361755857056327,0.2993595905622379,safe/save_74.pth
75,0.13603324281905652,0.28632553249931164,safe/save_75.pth
76,0.13684873510255444,0.32030586791090837,safe/save_76.pth
